Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;RT @DiegoBorjaPC: Las fuerzas más siniestras no paran en su objetivo de destruir la democracia en el Ecuador. Impidieron la candidatura de…;Sat Jan 30 23:36:03 +0000 2021;286;593;El Oro, Ecuador;
Andrés Arauz;RT @LaPosta_Ecu: Hoy, la revista colombiana Semana reveló información que relacionaría la campaña presidencial del rafalover, Andrés Arauz,…;Sat Jan 30 23:36:03 +0000 2021;604;752;El Oro, Ecuador;
Andrés Arauz;RT @eluniversocom: Revista Semana sostiene que existirían archivos del ELN que señalan aporte de campaña a candidato presidencial Andrés Ar…;Sat Jan 30 23:36:04 +0000 2021;398;563;Pichincha, Ecuador;
Andrés Arauz;@jhondiego_2000 #EstanDesesperados El desespero es incontrolable se nota que tienen miedo a perder todo lo que han… https://t.co/EU0eyasrqA;Sat Jan 30 23:36:04 +0000 2021;0;0;Loja,Ecuador;
Andrés Arauz;"RT @petrogustavo: Ojo @Almagro_OEA2015 con permitir un golpe de estado en Ecuador.

El gobierno ecuatoriano quiere suspender elecciones ant…";Sat Jan 30 23:36:04 +0000 2021;837;1902;Loja,Ecuador;
Andrés Arauz;RT @el_telegrafo: #POLÍTICA Ejército de Liberación Nacional (ELN) habría aportado en la campaña de #AndresArauz, según @RevistaSemana. Los…;Sat Jan 30 23:36:05 +0000 2021;11;11;Loja,Ecuador;
Andrés Arauz;"RT @ALBERTOACOSTAB: DESESPERACIÓN Y PEORES PRÁCTICAS...

#ARAUZ compra votos a $250 por nuca.

DEBE ESTAR SEGURO QUE “RECUPERARÁ” LA INVERS…";Sat Jan 30 23:36:06 +0000 2021;42;66;Loja,Ecuador;
Andrés Arauz;"RT @petrogustavo: Intentan por todos los medios impedir la victoria de Andrés Arauz en el Ecuador el próximo 7 de agosto.

Con calumnias, c…";Sat Jan 30 23:36:07 +0000 2021;1238;2562;Loja,Ecuador;
Andrés Arauz;RT @LeonardoQuirozL: La forma en que gobernó el expresidente #Correa, sin exclusiones, con seriedad, amor y respeto al país, nos permite te…;Sat Jan 30 23:36:08 +0000 2021;22;42;Loja,Ecuador;
Andrés Arauz;"RT @biological_dr: MODO DE OPERACIÓN 

1. Recibir dinero de guerrillas y narcotráfico 
2. Ofrecer $1000
3. Decir que das adelanto de $250
4…";Sat Jan 30 23:36:10 +0000 2021;499;663;Loja,Ecuador;
Andrés Arauz;RT @ismaelquintanag: A Arauz no le importó regalar pruebas COVID como estrategia de campaña electoral, pese a que las dádivas están prohibi…;Sat Jan 30 23:36:12 +0000 2021;1153;2397;Loja,Ecuador;
Andrés Arauz;"Que se cree este criminal con sentencia, prófugo exigiendo prisión como que estuviera en una #Sabatina!
Sin duda es… https://t.co/f5jf0mYjbP";Sat Jan 30 23:36:12 +0000 2021;0;0;Loja,Ecuador;
Andrés Arauz;Un asco gracias a la ratamaint.  Replop;Sat Jan 30 23:36:13 +0000 2021;0;0;Loja,Ecuador;
Andrés Arauz;RT @VickyDavilaH: “Intentan impedir la victoria de Arauz”: Petro defiende a candidato en Ecuador salpicado en los archivos de alias Uriel #…;Sat Jan 30 23:36:13 +0000 2021;295;364;Loja,Ecuador;
Andrés Arauz;@esantos1957 @clarincom @cnegobec @LuisVerdesotoo1 @Almagro_OEA2015 Estoy al pendiente, qué nueva Fake viene mañana… https://t.co/xrUmw5BN52;Sat Jan 30 23:36:16 +0000 2021;0;0;UIO;
